country,keyword,search_volume,cpc,competition_level,source,difficulty,relevance,score
es,renfe atencion al cliente,27100,0.79,LOW,w3,3,9,28142.3
pt,meteorologia vale de cambra,22200,0,LOW,w3,2,10,27750.0
es,puerto real,49500,0.91,LOW,w3,9,7,27355.3
es,estación de autobuses sur,40500,0.14,LOW,w3,10,9,27337.5
es,estación zaragoza delicias llegadas,22200,0.18,LOW,w3,1,9,27245.5
pt,meteorologia famalicão,27100,0,LOW,w3,5,10,27100.0
es,dgt multas,110000,1.95,LOW,w3,45,9,27000.0
es,el tiempo barcelona hoy,60500,0,LOW,w3,24,10,26691.2
pt,porto benfica hoje,22200,0.99,LOW,w3,0,8,26640.0
es,hora republica dominicana,33100,0,LOW,w3,5,8,26480.0
es,vuelos a tenerife,33100,0.48,HIGH,w3,0,8,26480.0
es,madrid clima hoy,74000,1.58,LOW,w3,32,10,26428.6
pt,meteorologia ponte de lima,33100,0,LOW,w3,9,10,26131.6
pt,meteorologia figueira da foz,33100,0.37,LOW,w3,9,10,26131.6
pt,tempo amanhã lisboa,33100,0.21,LOW,w3,9,10,26131.6
es,horario renfe cercanias,110000,1.16,LOW,w5,47,9,26052.6
es,linea metro 5 madrid,49500,0,LOW,w3,10,7,25987.5
es,horario metro bilbao,49500,0.53,LOW,w3,10,7,25987.5
pt,clima lisboa,60500,0,LOW,w3,25,10,25928.6
es,aeropuerto madrid barajas t4,90500,0.36,LOW,w3,32,8,25857.1
es,cercanias madrid,110000,0.88,LOW,w3,48,9,25603.4
es,aemet guadalajara,27100,0,LOW,w3,6,10,25406.2
pt,tempo em lisboa hoje,40500,0.15,LOW,w3,14,10,25312.5
es,aeropuerto federico garcía lorca granada-jaén,27100,0.55,LOW,w3,3,8,25015.4
pt,meteorologia ponta delgada,33100,0.19,LOW,w3,10,10,24825.0
es,tiempo en 14 dias madrid,74000,0,LOW,w3,35,10,24666.7
es,clima barcelona,110000,3.18,LOW,w3,57,10,24626.9
pt,instituto de meteorologia,110000,0,LOW,w3,57,10,24626.9
es,tiempo barcelona hoy,60500,0,LOW,w3,27,10,24527.0
es,estación de autobuses de marbella,18100,0.26,LOW,w3,0,9,24435.0
es,méndez álvaro estación sur,18100,0.34,LOW,w3,0,9,24435.0
es,estación de autobuses de oviedo,18100,0.24,LOW,w3,0,9,24435.0
es,estación de tren santiago de compostela daniel castelao,18100,0.15,LOW,w5,0,9,24435.0
es,aeropuerto de la coruña,40500,1.19,LOW,w3,10,8,24300.0
es,el tiempo ciudad real,90500,0,LOW,w3,46,10,24241.1
es,ibex 35 hoy tiempo real,74000,1.41,LOW,w3,36,10,24130.4
es,ibex 35 en tiempo real hoy,74000,1.41,LOW,w3,36,10,24130.4
es,tiempo Murcia,110000,0,LOW,seed,59,10,23913.0
pt,aeroporto lisboa,49500,1.83,LOW,w3,15,8,23760.0
es,metro de madrid linea 6,90500,0,LOW,w3,30,7,23756.2
es,línea 5 metro madrid,49500,0,LOW,w3,12,7,23625.0
es,madrid metro linea 1,40500,0,LOW,w3,8,7,23625.0
pt,tempo Faro,40500,0,LOW,seed,16,10,23365.4
es,puerto portals,22200,0.98,LOW,w3,0,7,23310.0
es,puerto de vega,22200,1.47,LOW,w3,0,7,23310.0
es,puerto rico gran canaria,22200,0.74,LOW,w3,0,7,23310.0
es,alquiler piso sevilla,22200,0.37,LOW,w5,0,7,23310.0
es,parking port aventura,22200,1.39,LOW,w5,0,7,23310.0
es,tiempo Badajoz,60500,0,LOW,seed,29,10,23269.2
es,horarios cercanias madrid,74000,1.03,LOW,w3,33,9,23232.6
es,alquiler piso madrid,33100,0.8,LOW,w3,5,7,23170.0
pt,meteorologia bragança,18100,0,LOW,w3,2,10,22625.0
pt,meteorologia marco de canaveses,18100,0,LOW,w3,2,10,22625.0
es,metro barcelona,49500,0.36,LOW,seed,13,7,22597.8
es,horarios renfe,110000,0.33,LOW,seed,56,9,22500.0
es,estación de tren santiago de compostela-daniel castelao,18100,0.15,LOW,w3,1,9,22213.6
es,aeropuerto alicante,22200,1.4,LOW,w3,2,8,22200.0
es,meteoblue barcelona,14800,0,LOW,w3,0,10,22200.0
es,meteoblue bilbao,14800,0,LOW,w3,0,10,22200.0
es,aeropuerto barcelona,90500,1.14,LOW,w3,39,8,22163.3
es,cita previa dgt,60500,1.72,LOW,w3,27,9,22074.3
es,vuelos a londres,33100,0.49,HIGH,w3,2,8,22066.7
