country,keyword,search_volume,difficulty,cpc,competition_level,relevance,score
es,tiempo en vélez málaga,33100,18,0,LOW,10,17732.1
pt,ipma braga,49500,32,0,LOW,10,17678.6
pt,liga portugal classificação,40500,18,0.9,LOW,8,17357.1
es,tiempo en palma de mallorca,40500,25,0.44,LOW,10,17357.1
pt,coliseu porto,18100,1,1.59,LOW,7,17277.3
es,hora república dominicana,33100,13,0,LOW,8,17269.6
es,linea 10 metro madrid,74000,35,0.09,LOW,7,17266.7
pt,lisboa previsão do tempo,33100,19,0,LOW,10,17120.7
pt,meteorologia alcobaça,14800,3,0.42,LOW,10,17076.9
es,musicales en madrid,40500,9,0.4,HIGH,8,17052.6
pt,meteorologia setúbal,18100,6,0,LOW,10,16968.8
es,linea 5 de metro madrid,49500,21,0,LOW,7,16766.1
es,metro linea 5 madrid,49500,21,0,LOW,7,16766.1
pt,parque estacionamento,27100,12,0.3,LOW,9,16629.5
es,metro linea 7 madrid,33100,11,0,LOW,7,16550.0
pt,meteorologia castelo branco,33100,20,0.36,LOW,10,16550.0
es,valencia hoy tiempo,49500,35,0,LOW,10,16500.0
es,ikea canarias,74000,26,0.03,MEDIUM,8,16444.4
es,tiempo en velez malaga,33100,21,0,LOW,10,16016.1
es,tiempo Murcia,110000,59,0,,10,15942.0
pt,meteorologia marinha grande,14800,4,0.05,LOW,10,15857.1
pt,porto vitória sc,27100,8,0,LOW,7,15808.3
pt,meia nau porto,27100,8,0.15,LOW,7,15808.3
es,linea 7 metro madrid,33100,12,0,LOW,7,15797.7
es,metro de madrid linea 5,49500,23,0,LOW,7,15750.0
pt,a f porto,40500,17,0,LOW,7,15750.0
pt,sapo desporto,40500,17,0,LOW,7,15750.0
pt,tempo Faro,40500,16,0,,10,15576.9
pt,jogadores de futebol clube do porto,22200,5,0,LOW,7,15540.0
pt,moreirense porto,14800,0,0,LOW,7,15540.0
pt,ultimo porto,14800,0,0.21,LOW,7,15540.0
pt,a bolina porto,14800,0,0.29,LOW,7,15540.0
pt,à bolina porto,14800,0,0.29,LOW,7,15540.0
pt,aguas do porto,14800,0,2.41,LOW,7,15540.0
pt,porto estrela vermelha,14800,0,0,LOW,7,15540.0
pt,porto clima,33100,22,0.37,LOW,10,15515.6
es,aemet madrid tiempo,33100,22,0,LOW,10,15515.6
es,tiempo Badajoz,60500,29,0,,10,15512.8
es,tiempo hoy valencia,49500,38,0,LOW,10,15468.8
es,metro madrid línea 5,49500,24,0,LOW,7,15286.8
es,palau de la musica valencia,33100,16,1.53,LOW,8,15276.9
es,precio gasolina,60500,38,0.3,LOW,8,15125.0
es,mapa de metro madrid,33100,13,0.05,LOW,7,15110.9
es,metro barcelona,49500,13,0.36,,7,15065.2
es,canarias,135000,100,0.46,LOW,8,14727.3
es,metro linea 1 madrid,40500,19,0,LOW,7,14663.8
es,metro madrid línea 1,40500,19,0,LOW,7,14663.8
es,tiempo valencia hoy,49500,41,0,LOW,10,14558.8
es,el tiempo en tenerife,27100,18,0.05,LOW,10,14517.9
es,metro linea 3 madrid,33100,14,0,LOW,7,14481.3
pt,aeroporto porto partidas,18100,0,0.87,,8,14480.0
es,zara canarias,74000,31,0.36,MEDIUM,8,14439.0
pt,tempo amanhã porto,18100,9,0.06,LOW,10,14289.5
pt,meteorologia em esposende,18100,9,0,LOW,10,14289.5
es,clima sevilla españa,49500,42,2.51,LOW,10,14278.8
es,puerto colon,27100,10,0.52,LOW,7,14227.5
es,puerto de valencia,27100,10,0.48,LOW,7,14227.5
es,ayuntamiento de alicante,33100,18,0.14,LOW,8,14185.7
es,renfe cercanias madrid,60500,48,0.84,LOW,9,14081.9
es,metro línea 3 madrid,33100,15,0,LOW,7,13902.0
pt,meteorologia são joão da madeira,14800,6,0,LOW,10,13875.0
pt,meteorologia odivelas,14800,6,0.26,LOW,10,13875.0
es,cercanías madrid,110000,62,0.88,,9,13750.0
es,cercanías Madrid,110000,62,0.88,,9,13750.0
es,previsión tiempo madrid,49500,44,0,LOW,10,13750.0
es,playa de las canteras las palmas de gran canaria,27100,14,0.52,LOW,8,13550.0
es,madrid tiempo aemet,33100,27,0,LOW,10,13418.9
es,linea metro 3 madrid,33100,16,0,LOW,7,13367.3
pt,sondagens autárquicas 2025,22200,10,0,LOW,8,13320.0
es,línea 1 metro madrid,40500,22,0,LOW,7,13289.1
es,cercanías valencia,60500,31,0.78,,9,13280.5
es,cercanías Valencia,60500,31,0.78,,9,13280.5
es,aeropuerto barajas,33100,20,1.09,LOW,8,13240.0
es,barcelona tiempo,40500,36,1.35,LOW,10,13206.5
pt,classificação liga portugal,40500,27,0.9,LOW,8,13135.1
es,notas dgt,40500,32,1.87,LOW,9,13017.9
es,puerto de Barcelona,33100,8,0.47,,7,12872.2
pt,sondagem autárquicas 2025,22200,11,0,LOW,8,12685.7
pt,resultados eleições autárquicas 2025,14800,4,0,LOW,8,12685.7
pt,nacional porto,18100,5,0,LOW,7,12670.0
pt,porto salvo,18100,5,0.49,LOW,7,12670.0
